Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,800,1800,560,1
2017,1,2,750,1800,583,2
2017,1,3,800,1800,673,3
2017,1,4,750,1500,652,4
2017,1,5,750,1500,547,5
2017,1,6,,,,6
2017,1,7,,,,7
2017,1,8,700,1500,806,8
2017,1,9,700,1500,962,9
2017,1,10,700,1500,691,10
2017,1,11,750,1500,877,11
2017,1,12,700,1500,1047,12
2017,1,13,,,,13
2017,1,14,,,,14
2017,1,15,700,1500,567,15
2017,1,16,750,1500,720,16
2017,1,17,900,1500,568,17
2017,1,18,700,1500,846,18
2017,1,19,700,1500,810,19
2017,1,20,700,1500,853,20
2017,1,21,,,,21
2017,1,22,800,1500,756,22
2017,1,23,700,1500,874,23
2017,1,24,650,1500,900,24
2017,1,25,,,,25
2017,1,26,700,1500,868,26
2017,1,27,650,1500,778,27
2017,1,28,,,,28
2017,1,29,600,1500,651,29
2017,1,30,620,1500,710,30
2017,1,31,,,,31
2017,2,1,600,1500,571,32
2017,2,2,700,1500,580,33
2017,2,3,650,1500,745,34
2017,2,4,700,1500,556,35
2017,2,5,,,,36
2017,2,6,600,1500,603,37
2017,2,7,600,1500,821,38
2017,2,8,600,1500,722,39
2017,2,9,600,1500,811,40
2017,2,10,700,1500,926,41
2017,2,11,,,,42
2017,2,12,,,,43
2017,2,13,720,1500,718,44
2017,2,14,600,1500,601,45
2017,2,15,600,1500,635,46
2017,2,16,550,1500,638,47
2017,2,17,600,1500,629,48
2017,2,18,775,1500,619,49
2017,2,19,,,,50
2017,2,20,650,1500,617,51
2017,2,21,700,1500,747,52
2017,2,22,750,1500,562,53
2017,2,23,700,1500,597,54
2017,2,24,600,1500,599,55
2017,2,25,,,,56
2017,2,26,,,,57
2017,2,27,650,1500,1035,58
2017,2,28,750,1500,937,59
2017,3,1,650,1500,677,60
2017,3,2,650,1500,572,61
2017,3,3,650,1500,482,62
2017,3,4,650,1500,872,63
2017,3,5,,,,64
2017,3,6,650,1500,1033,65
2017,3,7,750,1500,1422,66
2017,3,8,750,1500,791,67
2017,3,9,650,1500,879,68
2017,3,10,600,1500,801,69
2017,3,11,,,,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,750,1500,766,73
2017,3,15,750,1500,666,74
2017,3,16,650,1500,602,75
2017,3,17,750,1500,618,76
2017,3,18,600,1500,684,77
2017,3,19,,,,78
2017,3,20,650,1600,772,79
2017,3,21,,,,80
2017,3,22,750,1500,1312,81
2017,3,23,600,1500,923,82
2017,3,24,700,1500,810,83
2017,3,25,,,,84
2017,3,26,,,,85
2017,3,27,600,1500,822,86
2017,3,28,700,1500,1155,87
2017,3,29,500,1500,588,88
2017,3,30,650,1600,862,89
2017,3,31,650,1800,813,90
2017,4,1,,,,91
2017,4,2,,,,92
2017,4,3,,,,93
2017,4,4,,,,94
2017,4,5,600,1600,891,95
2017,4,6,600,1500,556,96
2017,4,7,600,1500,1154,97
2017,4,8,600,1600,803,98
2017,4,9,,,,99
2017,4,10,550,1500,899,100
2017,4,11,600,1600,1126,101
2017,4,12,620,1800,864,102
2017,4,13,,,,103
2017,4,14,,,,104
2017,4,15,650,1500,786,105
2017,4,16,,,,106
2017,4,17,550,1500,1333,107
2017,4,18,,,,108
2017,4,19,550,1500,644,109
2017,4,20,620,1500,748,110
2017,4,21,550,1500,587,111
2017,4,22,550,1500,634,112
2017,4,23,,,,113
2017,4,24,500,1500,651,114
2017,4,25,,,,115
2017,4,26,520,1500,893,116
2017,4,27,600,1500,850,117
2017,4,28,620,1500,802,118
2017,4,29,,,,119
2017,4,30,,,,120
2017,5,1,600,1500,1111,121
2017,5,2,600,1500,646,122
2017,5,3,525,1500,674,123
2017,5,4,550,1500,914,124
2017,5,5,525,1500,799,125
2017,5,6,500,1500,698,126
2017,5,7,,,,127
2017,5,8,550,1500,752,128
2017,5,9,450,1500,1007,129
2017,5,10,,,,130
2017,5,11,450,1600,548,131
2017,5,12,450,1500,839,132
2017,5,13,,,,133
2017,5,14,,,,134
2017,5,15,400,1500,998,135
2017,5,16,450,1500,1225,136
2017,5,17,450,1500,631,137
2017,5,18,450,1600,914,138
2017,5,19,450,1500,660,139
2017,5,20,475,1500,363,140
2017,5,21,,,,141
2017,5,22,450,1500,448,142
2017,5,23,550,1500,644,143
2017,5,24,525,1500,671,144
2017,5,25,500,1500,842,145
2017,5,26,450,1500,788,146
2017,5,27,,,,147
2017,5,28,,,,148
2017,5,29,550,1500,869,149
2017,5,30,500,1500,1254,150
2017,5,31,500,1500,934,151
2017,6,1,475,1500,1540,152
2017,6,2,525,1500,829,153
2017,6,3,,,,154
2017,6,4,,,,155
2017,6,5,500,1500,454,156
2017,6,6,600,1500,622,157
2017,6,7,500,1500,407,158
2017,6,8,600,1600,805,159
2017,6,9,600,1600,714,160
2017,6,10,620,1600,804,161
2017,6,11,,,,162
2017,6,12,,,,163
2017,6,13,600,1600,712,164
2017,6,14,550,1500,1218,165
2017,6,15,650,1500,1042,166
2017,6,16,650,1200,677,167
2017,6,17,,,,168
2017,6,18,,,,169
2017,6,19,700,1500,726,170
2017,6,20,650,1600,1281,171
2017,6,21,,,,172
2017,6,22,625,1600,830,173
2017,6,23,650,1600,926,174
2017,6,24,625,1600,1057,175
2017,6,25,,,,176
2017,6,26,,,,177
2017,6,27,550,1600,921,178
2017,6,28,550,1500,1091,179
2017,6,29,550,1500,649,180
2017,6,30,650,1600,451,181
2017,7,1,,,,182
2017,7,2,,,,183
2017,7,3,550,1600,804,184
2017,7,4,550,1500,1059,185
2017,7,5,600,1600,679,186
2017,7,6,600,1600,1085,187
2017,7,7,600,1600,1050,188
