Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,28,450,1500,1269,28
2017,1,29,,,,29
2017,1,30,,,,30
2017,1,31,,,,31
2017,2,1,,,,32
2017,2,2,350,1200,680,33
2017,2,3,375,1200,1232,34
2017,2,4,425,1200,455,35
2017,2,5,,,,36
2017,2,6,400,1500,802,37
2017,2,7,400,1500,841,38
2017,2,8,400,1500,786,39
2017,2,9,400,1500,1772,40
2017,2,10,400,1200,934,41
2017,2,11,,,,42
2017,2,12,,,,43
2017,2,13,400,1500,829,44
2017,2,14,400,1500,676,45
2017,2,15,450,1500,743,46
2017,2,16,400,1500,738,47
2017,2,17,400,1500,815,48
2017,2,18,375,1200,642,49
2017,2,19,,,,50
2017,2,20,400,1500,993,51
2017,2,21,300,1200,833,52
2017,2,22,350,1200,954,53
2017,2,23,350,1200,872,54
2017,2,24,400,1500,1445,55
2017,2,25,,,,56
2017,2,26,,,,57
2017,2,27,300,1500,997,58
2017,2,28,400,1500,1164,59
2017,3,1,350,1500,906,60
2017,3,2,300,1500,963,61
2017,3,3,350,1500,821,62
2017,3,4,350,1500,802,63
2017,3,5,,,,64
2017,3,6,400,1500,736,65
2017,3,7,350,1500,988,66
2017,3,8,350,1500,763,67
2017,3,9,400,1500,701,68
2017,3,10,425,1500,743,69
2017,3,11,,,,70
2017,3,12,,,,71
2017,3,13,,,,72
2017,3,14,400,1500,832,73
2017,3,15,425,1500,777,74
2017,3,16,450,1500,900,75
2017,3,17,425,1500,933,76
2017,3,18,450,1500,933,77
2017,3,19,,,,78
2017,3,20,450,1500,1064,79
2017,3,21,,,,80
2017,3,22,450,1500,1408,81
2017,3,23,450,1500,823,82
2017,3,24,450,1500,1001,83
2017,3,25,,,,84
2017,3,26,,,,85
2017,3,27,410,1500,1140,86
2017,3,28,400,1500,952,87
2017,3,29,400,1500,731,88
2017,3,30,500,1500,862,89
2017,3,31,500,1500,928,90
2017,4,1,,,,91
2017,4,2,,,,92
2017,4,3,,,,93
2017,4,4,,,,94
2017,4,5,600,1500,816,95
2017,4,6,650,1500,661,96
2017,4,7,500,1500,1347,97
2017,4,8,625,1500,725,98
2017,4,9,,,,99
2017,4,10,550,1500,902,100
2017,4,11,550,1500,1390,101
2017,4,12,550,1500,663,102
2017,4,13,,,,103
2017,4,14,,,,104
2017,4,15,500,1500,835,105
2017,4,16,,,,106
2017,4,17,500,1500,1885,107
2017,4,18,,,,108
2017,4,19,550,1500,664,109
2017,4,20,600,1500,811,110
2017,4,21,500,1500,852,111
2017,4,22,500,1500,650,112
2017,4,23,,,,113
2017,4,24,550,1500,843,114
2017,4,25,,,,115
2017,4,26,500,1500,635,116
2017,4,27,525,1500,700,117
2017,4,28,500,1500,644,118
2017,4,29,,,,119
2017,4,30,,,,120
2017,5,1,500,1500,1028,121
2017,5,2,525,1500,662,122
2017,5,3,525,1500,686,123
2017,5,4,525,1500,663,124
2017,5,5,500,1500,821,125
2017,5,6,500,1500,795,126
2017,5,7,,,,127
2017,5,8,475,1500,672,128
2017,5,9,550,1500,419,129
2017,5,10,,,,130
2017,5,11,500,1500,620,131
2017,5,12,500,1500,732,132
2017,5,13,,,,133
2017,5,14,,,,134
2017,5,15,550,1500,647,135
2017,5,16,500,1500,849,136
2017,5,17,450,1500,679,137
2017,5,18,500,1500,582,138
2017,5,19,550,1500,559,139
2017,5,20,500,1500,617,140
2017,5,21,,,,141
2017,5,22,500,1500,690,142
2017,5,23,550,1500,742,143
2017,5,24,550,1500,659,144
2017,5,25,550,1500,572,145
2017,5,26,550,1500,923,146
2017,5,27,,,,147
2017,5,28,,,,148
2017,5,29,475,1500,742,149
2017,5,30,500,1500,768,150
2017,5,31,520,1500,708,151
2017,6,1,375,1200,529,152
2017,6,2,425,1200,619,153
2017,6,3,,,,154
2017,6,4,,,,155
2017,6,5,500,1500,636,156
2017,6,6,500,1500,918,157
2017,6,7,550,1500,541,158
2017,6,8,550,1500,718,159
2017,6,9,550,1500,590,160
2017,6,10,575,1500,712,161
2017,6,11,,,,162
2017,6,12,,,,163
2017,6,13,550,1500,636,164
2017,6,14,550,1200,883,165
2017,6,15,550,1500,772,166
2017,6,16,550,1500,648,167
2017,6,17,,,,168
2017,6,18,,,,169
2017,6,19,650,1600,647,170
2017,6,20,550,1500,797,171
2017,6,21,,,,172
2017,6,22,550,1500,751,173
2017,6,23,550,1500,659,174
2017,6,24,550,1500,463,175
2017,6,25,,,,176
2017,6,26,,,,177
2017,6,27,500,1500,716,178
2017,6,28,500,1600,1207,179
2017,6,29,550,1500,774,180
2017,6,30,600,1600,713,181
2017,7,1,,,,182
2017,7,2,,,,183
2017,7,3,500,1500,663,184
2017,7,4,550,1500,841,185
2017,7,5,500,1400,768,186
2017,7,6,500,1500,378,187
2017,7,7,500,1500,676,188
2017,7,8,500,1400,648,189
2017,7,9,,,,190
